timestamp,equipment_id,temperature_celsius,vibration_hz,pressure_psi
2026-05-30 16:05:36,EXC-001,87.01,44.48,2826.07
2026-05-30 16:05:36,EXC-002,95.75,27.64,2986.42
2026-05-30 16:05:36,EXC-003,82.37,19.57,3060.31
2026-05-30 16:05:36,EXC-004,103.69,40.52,2658.6
2026-05-30 16:05:36,EXC-005,102.77,15.81,3033.6
2026-05-30 16:05:36,BLR-001,71.23,20.71,3198.79
2026-05-30 16:05:36,BLR-002,76.44,40.1,2556.45
2026-05-30 16:05:36,BLR-003,77.32,37.43,2896.74
2026-05-30 16:05:36,BLR-004,102.28,11.52,2645.38
2026-05-30 16:05:36,BLR-005,87.81,25.58,2895.75
2026-05-30 17:05:36,EXC-001,78.37,35.85,3092.56
2026-05-30 17:05:36,EXC-002,89.68,13.5,3120.14
2026-05-30 17:05:36,EXC-003,102.47,17.34,3156.17
2026-05-30 17:05:36,EXC-004,83.43,17.55,2607.62
2026-05-30 17:05:36,EXC-005,100.66,28.31,5000.07300525139
2026-05-30 17:05:36,BLR-001,91.46,38.55,3065.53
2026-05-30 17:05:36,BLR-002,89.68,30.35,3111.37
2026-05-30 17:05:36,BLR-003,72.66,13.59,2721.37
2026-05-30 17:05:36,BLR-004,98.59,20.47,2667.25
2026-05-30 17:05:36,BLR-005,77.09,10.1,2734.6
2026-05-30 18:05:36,EXC-001,87.92,19.66,2889.95
2026-05-30 18:05:36,EXC-002,80.22,29.51,3069.74
2026-05-30 18:05:36,EXC-003,86.64,17.3,2937.16
2026-05-30 18:05:36,EXC-004,87.08,25.52,3133.24
2026-05-30 18:05:36,EXC-005,,33.29,2912.24
2026-05-30 18:05:36,BLR-001,81.33,26.76,2947.48
2026-05-30 18:05:36,BLR-002,80.67,36.66,2926.41
2026-05-30 18:05:36,BLR-003,77.23,38.41,2830.89
2026-05-30 18:05:36,BLR-004,72.6,33.34,2574.71
2026-05-30 18:05:36,BLR-005,100.48,24.96,3005.44
2026-05-30 19:05:36,EXC-001,103.67,37.22,2777.23
2026-05-30 19:05:36,EXC-002,83.68,14.87,3132.45
2026-05-30 19:05:36,EXC-003,74.8,10.93,2705.46
2026-05-30 19:05:36,EXC-004,103.46,38.13,2827.6
2026-05-30 19:05:36,EXC-005,85.89,23.54,2702.75
2026-05-30 19:05:36,BLR-001,84.81,28.19,2618.02
2026-05-30 19:05:36,BLR-002,90.13,41.09,2983.88
2026-05-30 19:05:36,BLR-003,102.75,12.74,2856.05
2026-05-30 19:05:36,BLR-004,79.14,20.67,2766.73
2026-05-30 19:05:36,BLR-005,103.68,18.74,2951.53
2026-05-30 20:05:36,EXC-001,84.7,43.67,2699.11
2026-05-30 20:05:36,EXC-002,97.98,15.68,2592.26
2026-05-30 20:05:36,EXC-003,76.17,25.08,2877.54
2026-05-30 20:05:36,EXC-004,,21.92,2749.39
2026-05-30 20:05:36,EXC-005,89.32,43.5,3078.59
2026-05-30 20:05:36,BLR-001,72.98,43.68,2547.64
2026-05-30 20:05:36,BLR-002,,33.42,2785.63
2026-05-30 20:05:36,BLR-003,86.47,23.67,2811.52
2026-05-30 20:05:36,BLR-004,100.78,23.77,3168.06
